text,category,source,clean_text,predicted_category
"The arrival of Two-Face in the new Batman sequel bodes well for a doom-laden moral epic.  Sebastian Stan is being eyed as district attorney Harvey Dent and his supervillain alter ego – can Gotham residents expect an improvement in the city’s patchy justice system?The arrival in Gotham City of Harvey Dent, AKA Two-Face, is rarely without consequence in Batman sagas.  Tommy Lee Jones’ shrieking, neon-splashed Batman Forever iteration turned the character into a dissociative identity slot machine, endlessly pulling its own lever, while Billy Dee Williams’ take in 1989’s Batman was a promise of future ruin.  In Christopher Nolan’s The Dark Knight, the downfall of Aaron Eckhart’s crusading district attorney signalled the dangers of placing too much faith in the moral resilience of a single individual, especially in a city where the very idea of justice is already under existential strain.  With the news this week cautiously announced in the Hollywood Reporter that Sebastian Stan will be playing Dent in Matt Reeves’ highly anticipated forthcoming sequel to The Batman, it’s quite possible the new episode will be less interested in the masked theatrics of the 20th-century big screen caped crusader, and more in the idea that the very concept of justice is about to slowly disintegrate.",Entertainment,The Guardian,the arrival of two face in the new batman sequel bodes well for a doom laden moral epic sebastian stan is being eyed as district attorney harvey dent and his supervillain alter ego can gotham residents expect an improvement in the city s patchy justice system the arrival in gotham city of harvey dent aka two face is rarely without consequence in batman sagas tommy lee jones shrieking neon splashed batman forever iteration turned the character into a dissociative identity slot machine endlessly pulling its own lever while billy dee williams take in s batman was a promise of future ruin in christopher nolan s the dark knight the downfall of aaron eckhart s crusading district attorney signalled the dangers of placing too much faith in the moral resilience of a single individual especially in a city where the very idea of justice is already under existential strain with the news this week cautiously announced in the hollywood reporter that sebastian stan will be playing dent in matt reeves highly anticipated forthcoming sequel to the batman it s quite possible the new episode will be less interested in the masked theatrics of the th century big screen caped crusader and more in the idea that the very concept of justice is about to slowly disintegrate,Entertainment
"The crying game: what Hamnet’s grief-porn debate says about women, cinema – and enormous hawks. Hamnet and H Is for Hawk fuse themes of loss, birds and elemental female emotion. But whose fault is it if you remain dry-eyed?‘Is it porn or is it art?” A familiar, even dated question where nudity is involved, and (forgive thumbnail) pretty well-resolved– which is to say: we let the tastemakers decide, and it tips the scale towards “art” if one or both protagonists are not that good-looking.“Is it grief-porn or is it grief-art?” is a more vexed question. Grief-porn, in relation to cinema, would suggest that the film in question is emotionally manipulative, formulaic; grief-art would suggest the film unleashes feelings both universal and true. Continue reading...",Entertainment,The Guardian,the crying game what hamnet s grief porn debate says about women cinema and enormous hawks hamnet and h is for hawk fuse themes of loss birds and elemental female emotion but whose fault is it if you remain dry eyed is it porn or is it art a familiar even dated question where nudity is involved and forgive thumbnail pretty well resolved which is to say we let the tastemakers decide and it tips the scale towards art if one or both protagonists are not that good looking is it grief porn or is it grief art is a more vexed question grief porn in relation to cinema would suggest that the film in question is emotionally manipulative formulaic grief art would suggest the film unleashes feelings both universal and true continue reading,Entertainment
"The Rip review – Ben Affleck and Matt Damon tear through flashy Netflix bro thriller.  The longtime friends and colleagues add weight to Joe Carnahan’s enjoyably boisterous Friday night crowdpleaserJanuary has long been a B-movie buffet for those exhausted by prestige awards bait, a month when Gerard Butler and Jason Statham are suddenly commanding wide releases and often No 1 mini-hits.  But as the former’s apocalyptic sequel Greenland 2: Migration lingers in the top five and the latter’s action romp Shelter prepares to premiere, we find two more prominent stars – Oscar winners Ben Affleck and Matt Damon – resigned to the small screen instead. In a non-Netflix world, a film like The Rip – flashy, action-heavy, led by two household names – should be available this weekend on the biggest high-format screens across the country.  But then in that same world, at this particular time, it’s doubtful that a film like this would even get made, granted a budget that’s reportedly close to $100m, highly unusual for R-rated non-IP.",Entertainment,The Guardian,the rip review ben affleck and matt damon tear through flashy netflix bro thriller the longtime friends and colleagues add weight to joe carnahan s enjoyably boisterous friday night crowdpleaserjanuary has long been a b movie buffet for those exhausted by prestige awards bait a month when gerard butler and jason statham are suddenly commanding wide releases and often no mini hits but as the former s apocalyptic sequel greenland migration lingers in the top five and the latter s action romp shelter prepares to premiere we find two more prominent stars oscar winners ben affleck and matt damon resigned to the small screen instead in a non netflix world a film like the rip flashy action heavy led by two household names should be available this weekend on the biggest high format screens across the country but then in that same world at this particular time it s doubtful that a film like this would even get made granted a budget that s reportedly close to m highly unusual for r rated non ip,Entertainment
"Matthew McConaughey trademarks ‘All right, all right, all right’ catchphrase in bid to beat AI fakes. The Oscar winner intends to combat misuse of the famous line from Dazed and Confused by creating ‘a clear perimeter around ownership’ Oscar-winning actor Matthew McConaughey has trademarked his image and voice – including his famous catchphrase: “All right, all right, all right” from the movie Dazed and Confused in an attempt to forestall unauthorised use by artificial intelligence.The Wall Street Journal reported that McConaughey has had eight separate applications approved by the US Patent and Trademark Office in recent weeks, including film clips of the actor standing on a porch and sitting in front of a tree, and an audio clip of him saying: “All right, all right, all right”. Continue reading...",Entertainment,The Guardian,matthew mcconaughey trademarks all right all right all right catchphrase in bid to beat ai fakes the oscar winner intends to combat misuse of the famous line from dazed and confused by creating a clear perimeter around ownership oscar winning actor matthew mcconaughey has trademarked his image and voice including his famous catchphrase all right all right all right from the movie dazed and confused in an attempt to forestall unauthorised use by artificial intelligence the wall street journal reported that mcconaughey has had eight separate applications approved by the us patent and trademark office in recent weeks including film clips of the actor standing on a porch and sitting in front of a tree and an audio clip of him saying all right all right all right continue reading,Entertainment
"28 Years Later: The Bone Temple review – Ralph Fiennes is phenomenal in best chapter yet of zombie horror.  A murderous Clockwork-Orangey gang take on the zombies in this gruesome and energised fourquel.  It’s the finest of the 28 franchise by a blood-curdling mileIt’s very rare for a fourquel to be the best film in a franchise, but that’s how things stand with the chequered 28 Days Later series.  In this one, which follows immediately on from the previous episode, 28 Years Later, Ralph Fiennes and Jack O’Connell bring pure death-metal craziness.  There is real energy and drama in this latest iteration of the post-apocalyptic zombie horror-thriller saga, created by director Danny Boyle and screenwriter Alex Garland back in 2003, with Nia DaCosta taking over directing duties for this film.",Entertainment,The Guardian,years later the bone temple review ralph fiennes is phenomenal in best chapter yet of zombie horror a murderous clockwork orangey gang take on the zombies in this gruesome and energised fourquel it s the finest of the franchise by a blood curdling mileit s very rare for a fourquel to be the best film in a franchise but that s how things stand with the chequered days later series in this one which follows immediately on from the previous episode years later ralph fiennes and jack o connell bring pure death metal craziness there is real energy and drama in this latest iteration of the post apocalyptic zombie horror thriller saga created by director danny boyle and screenwriter alex garland back in with nia dacosta taking over directing duties for this film,Entertainment
"The Voice of Hind Rajab review – docufiction is fierce, vehement and heart-shattering.  In an audacious move, director Kaouther Ben Hania reconstructs the killing of the five-year-old in Gaza using her real voice as she is bombarded by the Israeli armyThere can be no doubt about which movie has set the Venice film festival ablaze – it is this one, from Tunisian film-maker Kaouther Ben Hania.  The Voice of Hind Rajab is about the horrifying ordeal of the five-year-old Palestinian girl Hind Rajab, who was killed in 2024 by the Israel Defense Forces (IDF) in Gaza in her uncle’s car along with six family members, and two paramedics who tried to come to her rescue.  Rajab herself, who survived the original assault by the IDF which killed those around her, stayed on the phone for hours to the Palestine Red Crescent Society (PRCS), desperately begging for help.  With startling audacity, Ben Hania has used the real audio recording of Rajab’s heart-wrenching voice, while fictionally reconstructing the drama of the emergency responders in their call-centre office, with real people played by actors, talking, shouting and emoting in response to Rajab’s actual voice.",Entertainment,The Guardian,the voice of hind rajab review docufiction is fierce vehement and heart shattering in an audacious move director kaouther ben hania reconstructs the killing of the five year old in gaza using her real voice as she is bombarded by the israeli armythere can be no doubt about which movie has set the venice film festival ablaze it is this one from tunisian film maker kaouther ben hania the voice of hind rajab is about the horrifying ordeal of the five year old palestinian girl hind rajab who was killed in by the israel defense forces idf in gaza in her uncle s car along with six family members and two paramedics who tried to come to her rescue rajab herself who survived the original assault by the idf which killed those around her stayed on the phone for hours to the palestine red crescent society prcs desperately begging for help with startling audacity ben hania has used the real audio recording of rajab s heart wrenching voice while fictionally reconstructing the drama of the emergency responders in their call centre office with real people played by actors talking shouting and emoting in response to rajab s actual voice,Entertainment
"Bulk review – Ben Wheatley’s quirky sci-fi brings small-budget charm to big questions.  Wheatley’s engaging tale sends Sam Riley’s tough-guy reporter to the home of a reclusive oligarch who has invented a ‘Brain Collider’On a modest budget, director Ben Wheatley gives us a retro sci-fi with much tongue-in-cheek paranoia, questioning of reality and proliferation of multiverses, and featuring comic-book dialogue that’s been re-recorded, giving the whole thing a sheen of dreamlike unreality.  There’s also a lot of quirky lo-fi special effects work with Airfix models. Bulk is a movie indebted to a mountain of pop culture references listed in Wheatley’s own handwriting in block capitals over the closing credits.  Space: 1999 is one – it is good to see it there, and see it reflected in the preceding film – and with the monochrome cinematography, Dutch angles and looming closeups there’s a bit of John Frankenheimer and a little of Chris Petit.",Entertainment,The Guardian,bulk review ben wheatley s quirky sci fi brings small budget charm to big questions wheatley s engaging tale sends sam riley s tough guy reporter to the home of a reclusive oligarch who has invented a brain collider on a modest budget director ben wheatley gives us a retro sci fi with much tongue in cheek paranoia questioning of reality and proliferation of multiverses and featuring comic book dialogue that s been re recorded giving the whole thing a sheen of dreamlike unreality there s also a lot of quirky lo fi special effects work with airfix models bulk is a movie indebted to a mountain of pop culture references listed in wheatley s own handwriting in block capitals over the closing credits space is one it is good to see it there and see it reflected in the preceding film and with the monochrome cinematography dutch angles and looming closeups there s a bit of john frankenheimer and a little of chris petit,Entertainment
"Clickbait review – gripping drama about the human cost of moderating the internet.  A social media content moderator becomes obsessed with a violent video in this restrained, unsettling workplace thriller starring Lili ReinhartHere is a workplace drama, of sorts.  Like many people, Daisy (Lili Reinhart) works a desk job using a computer.  Unlike most people, fainting at work is a rite of passage; she moderates videos on social media that have been reported for violating the terms of service.  That means watching everything from horrible porn to horrible politics to horrible accidents and everything in between, a non-stop diet of videos with titles such as “fetus in blender” or “strangulation but she doesn’t die”.",Entertainment,The Guardian,clickbait review gripping drama about the human cost of moderating the internet a social media content moderator becomes obsessed with a violent video in this restrained unsettling workplace thriller starring lili reinharthere is a workplace drama of sorts like many people daisy lili reinhart works a desk job using a computer unlike most people fainting at work is a rite of passage she moderates videos on social media that have been reported for violating the terms of service that means watching everything from horrible porn to horrible politics to horrible accidents and everything in between a non stop diet of videos with titles such as fetus in blender or strangulation but she doesn t die,Entertainment
"The Knife review – audaciously taut film about police encounter is intense drama of mutual suspicion. A crime committed in the home of a regular black American family results in paranoia on all sides in this 81-minute film from Nnamdi AsomughaHere is a compact drama that twists itself like a tourniquet over 81 minutes, as a bad situation turns into a catastrophe for an ordinary American family.Late one night in an unnamed city, construction worker Chris (Nnamdi Asomugha, also the film’s director and co-writer) finishes a DIY project in his own home and sinks a beer or two. He takes a couple of pills before checking on his two young daughters Kendra (Amari Alexis Price) and Ryley (Aiden Gabrielle Price), who have been sneakily pretending to be asleep. Then he gets into bed with wife Alex (Aja Naomi King) for a chat and a soon-abandoned attempt to have exhausted marital sex while their infant baby sleeps next door. Continue reading...",Entertainment,The Guardian,the knife review audaciously taut film about police encounter is intense drama of mutual suspicion a crime committed in the home of a regular black american family results in paranoia on all sides in this minute film from nnamdi asomughahere is a compact drama that twists itself like a tourniquet over minutes as a bad situation turns into a catastrophe for an ordinary american family late one night in an unnamed city construction worker chris nnamdi asomugha also the film s director and co writer finishes a diy project in his own home and sinks a beer or two he takes a couple of pills before checking on his two young daughters kendra amari alexis price and ryley aiden gabrielle price who have been sneakily pretending to be asleep then he gets into bed with wife alex aja naomi king for a chat and a soon abandoned attempt to have exhausted marital sex while their infant baby sleeps next door continue reading,Entertainment
"A Gangster’s Life review – funny in parts, but not always deliberately.  Despite some interesting visuals, not even Tony Cook and Jonny Weldon can lift this poorly produced tale of a pair of dodgy lads hiding in Greece from a gangsterHere is an odd film about a couple of dodgy lads who get on the wrong side of a bona fide gangster and have to hide out in Greece.  It’s not thoughtless per se; rather, it lacks the resources to bring its vision successfully to screen.  Its quirks are sometimes appealing and sometimes amateurish and, while a mixture of influences swirl about, from Bond to Kingsman to Guy Ritchie and even Mission: Impossible, the film-makers don’t have the necessary budget, meaning that it feels at times like a TikTok parody of more expensive films. It is a shame, because there are some interesting visual ideas that go beyond route one filming.",Entertainment,The Guardian,a gangster s life review funny in parts but not always deliberately despite some interesting visuals not even tony cook and jonny weldon can lift this poorly produced tale of a pair of dodgy lads hiding in greece from a gangsterhere is an odd film about a couple of dodgy lads who get on the wrong side of a bona fide gangster and have to hide out in greece it s not thoughtless per se rather it lacks the resources to bring its vision successfully to screen its quirks are sometimes appealing and sometimes amateurish and while a mixture of influences swirl about from bond to kingsman to guy ritchie and even mission impossible the film makers don t have the necessary budget meaning that it feels at times like a tiktok parody of more expensive films it is a shame because there are some interesting visual ideas that go beyond route one filming,Entertainment
"State of Statelessness review – Dalai Lama presides over intimate dramas about Tibetans’ life of exile.  Tibetan directors, who all live outside Tibet, deliver a quartet of films that explore the pain of separation and migrationThe wrench of exile is the theme of this quartet of short films from Tibetan directors, who themselves all live outside Tibet.  Their intimate, emotional family dramas tell stories of separation and migration.  In two of them, the 90-year-old Dalai Lama smiles out from photographs on shrines, a reminder of the precariousness of Tibet’s future.  As a character in one of the films puts it bluntly: will there be anything to stop China erasing Tibetan identity when its rock-star spiritual leader is no longer around?In the first film a Tibetan man lives in a kind of complicated happiness in Vietnam.",Entertainment,The Guardian,state of statelessness review dalai lama presides over intimate dramas about tibetans life of exile tibetan directors who all live outside tibet deliver a quartet of films that explore the pain of separation and migrationthe wrench of exile is the theme of this quartet of short films from tibetan directors who themselves all live outside tibet their intimate emotional family dramas tell stories of separation and migration in two of them the year old dalai lama smiles out from photographs on shrines a reminder of the precariousness of tibet s future as a character in one of the films puts it bluntly will there be anything to stop china erasing tibetan identity when its rock star spiritual leader is no longer around in the first film a tibetan man lives in a kind of complicated happiness in vietnam,Entertainment
"Guián review – celebration of multicultural identity through a Chinese grandmother in Costa Rica.  Director Nicole Chi Amén embarks on a journey to learn more about her own mixed cultural heritage after the death of her Guangdong-born grandmaNicole Chi Amén, a Costa Rican woman of Chinese descent, has always been on the outside looking in.  The opening scene of her moving debut feature replicates this predicament visually: her face pressed against a metal barricade, she looks through a hole in the opaque facade with interest.  The camera is observing, too, and the sight of a house being torn down gradually comes into view.  This was once the home of her maternal grandmother, a Guangdong native who emigrated to Costa Rica more than 60 years ago.",Entertainment,The Guardian,gui n review celebration of multicultural identity through a chinese grandmother in costa rica director nicole chi am n embarks on a journey to learn more about her own mixed cultural heritage after the death of her guangdong born grandmanicole chi am n a costa rican woman of chinese descent has always been on the outside looking in the opening scene of her moving debut feature replicates this predicament visually her face pressed against a metal barricade she looks through a hole in the opaque facade with interest the camera is observing too and the sight of a house being torn down gradually comes into view this was once the home of her maternal grandmother a guangdong native who emigrated to costa rica more than years ago,Entertainment
"Escape review – notorious Japanese revolutionary tells story of country’s most wanted criminal. Director Masao Adachi – formerly of the Japanese Red Army – on the infamous Satoshi Kirishima, who went on the run in 1975 after a series of corporate bombingsMasao Adachi is an 86-year-old Japanese film-maker and former revolutionary activist who spent almost 30 years in Lebanese exile due to his former membership of terrorist group the Japanese Red Army in the 1970s; arrested on his return to Japan, after his release from prison he returned to cinema – and has now made this intriguing chamber piece called Tôsô, or Escape, an intensely, sometimes even passionately acted piece of work, imagining the inner life of a man who was once Japan’s most wanted fugitive.It is about the now infamous Satoshi Kirishima who, after his involvement in terrorist attacks on corporate buildings, went on the run from the police in 1975 and for decades lived as a cash-in-hand construction worker under a false name, hiding under the radar but in plain sight. He was never recognised and finally confessed his true self on his hospital deathbed in 2024, having being diagnosed with terminal cancer. Continue reading...",Entertainment,The Guardian,escape review notorious japanese revolutionary tells story of country s most wanted criminal director masao adachi formerly of the japanese red army on the infamous satoshi kirishima who went on the run in after a series of corporate bombingsmasao adachi is an year old japanese film maker and former revolutionary activist who spent almost years in lebanese exile due to his former membership of terrorist group the japanese red army in the s arrested on his return to japan after his release from prison he returned to cinema and has now made this intriguing chamber piece called t s or escape an intensely sometimes even passionately acted piece of work imagining the inner life of a man who was once japan s most wanted fugitive it is about the now infamous satoshi kirishima who after his involvement in terrorist attacks on corporate buildings went on the run from the police in and for decades lived as a cash in hand construction worker under a false name hiding under the radar but in plain sight he was never recognised and finally confessed his true self on his hospital deathbed in having being diagnosed with terminal cancer continue reading,Entertainment
"Hamnet review – Paul Mescal and Jessie Buckley beguile and captivate in audacious Shakespearean tragedy.  Chloé Zhao’s film version of Maggie O’Farrell’s myth-making novel powerfully reimagines the agonising loss of a child as the source of Hamlet’s grand stage drama‘The joys of parents are secret, and so are their griefs and fears …” This is Francis Bacon’s essay Of Parents and Children; maybe they were more secret in his day than ours.  This kind of secrecy and revelation is part of Chloé Zhao’s deeply felt romantic fantasy about the origin of William Shakespeare’s tragedy Hamlet.  It locates the play’s beginning in the imagined anguish of Shakespeare and his wife Agnes (or Anne) Hathaway at the death of their son Hamnet at the age of 11 in 1596, a few years before the play’s first performance. The nearness of the names is not supposed to be some monumental Freudian slip; there is linguistic evidence that the two could be used interchangeably.",Entertainment,The Guardian,hamnet review paul mescal and jessie buckley beguile and captivate in audacious shakespearean tragedy chlo zhao s film version of maggie o farrell s myth making novel powerfully reimagines the agonising loss of a child as the source of hamlet s grand stage drama the joys of parents are secret and so are their griefs and fears this is francis bacon s essay of parents and children maybe they were more secret in his day than ours this kind of secrecy and revelation is part of chlo zhao s deeply felt romantic fantasy about the origin of william shakespeare s tragedy hamlet it locates the play s beginning in the imagined anguish of shakespeare and his wife agnes or anne hathaway at the death of their son hamnet at the age of in a few years before the play s first performance the nearness of the names is not supposed to be some monumental freudian slip there is linguistic evidence that the two could be used interchangeably,Entertainment
"Netflix ‘plans to switch to all-cash offer to seal $83bn Warner Bros deal’. Aim is to speed up acquisition of WBD studio and streaming businesses and hold off rival Paramount bidNetflix is reportedly preparing to switch to an all-cash offer to seal its takeover of the studios and streaming businesses of Warner Bros Discovery (WBD), as it tries to speed up the deal and fend off a rival hostile bid from Paramount Skydance.The changes to Netflix’s $83bn (£62bn) offer, first reported by Bloomberg, are designed to accelerate the acquisition, which is expected to take months to conclude, and make it more palatable for WBD shareholders. Continue reading...",Entertainment,The Guardian,netflix plans to switch to all cash offer to seal bn warner bros deal aim is to speed up acquisition of wbd studio and streaming businesses and hold off rival paramount bidnetflix is reportedly preparing to switch to an all cash offer to seal its takeover of the studios and streaming businesses of warner bros discovery wbd as it tries to speed up the deal and fend off a rival hostile bid from paramount skydance the changes to netflix s bn bn offer first reported by bloomberg are designed to accelerate the acquisition which is expected to take months to conclude and make it more palatable for wbd shareholders continue reading,Entertainment
Zoe Saldaña becomes highest-grossing actor of all time.  Star overtook Scarlett Johansson after success of third Avatar – her films have now made more than $15. 46bn worldwideZoe Saldaña has become the highest-grossing actor of all time. The 47-year-old Oscar winner has overtaken Scarlett Johansson after the success of Avatar: Fire and Ash added more than $1. 2bn to her total.,Entertainment,The Guardian,zoe salda a becomes highest grossing actor of all time star overtook scarlett johansson after success of third avatar her films have now made more than bn worldwidezoe salda a has become the highest grossing actor of all time the year old oscar winner has overtaken scarlett johansson after the success of avatar fire and ash added more than bn to her total,Entertainment
"‘We are living in an age of cruelty’: George Clooney rebukes Tarantino for insulting Paul Dano.  The Jay Kelly star says he would be honoured to work with Dano, Owen Wilson and Matthew Lillard after all three actors were criticised by the director George Clooney has said he would be “honoured” to work with three actors who were heavily criticised by Quentin Tarantino last month.  Speaking at AARP’s Movies for Grownups awards on 10 January, Clooney said: “By the way, Paul Dano and Owen Wilson and Matthew Lillard, I would be honoured to work with those actors.  Honoured. ”Clooney continued by describing his new film, Noah Baumbach’s Jay Kelly, as a movie “made by people who love actors – that’s an important part.",Entertainment,The Guardian,we are living in an age of cruelty george clooney rebukes tarantino for insulting paul dano the jay kelly star says he would be honoured to work with dano owen wilson and matthew lillard after all three actors were criticised by the director george clooney has said he would be honoured to work with three actors who were heavily criticised by quentin tarantino last month speaking at aarp s movies for grownups awards on january clooney said by the way paul dano and owen wilson and matthew lillard i would be honoured to work with those actors honoured clooney continued by describing his new film noah baumbach s jay kelly as a movie made by people who love actors that s an important part,Entertainment
"Chalamet a smash, Sinners shut out: the key Golden Globes snubs and surprises. Paul Thomas Anderson’s One Battle After Another looks unstoppable ahead of the Oscars, despite Timothée Chalamet’s triumph over Leonardo DiCaprio for best actorThe biggest backlash brewing concerns Ryan Coogler’s Sinners, lauded by critics and embraced – especially in the US – by audiences as one of 2025’s key cultural landmarks. The thriller did win two Globes – for cinematic and box office achievement and original score – but both wound up not really counting. The first is the Globes’s consolation prize (it was won by Barbie in 2023 and Wicked last year); the second wasn’t even broadcast on the telecast. Coogler missing out on screenplay to One Battle After Another was perceived by some as a slap in the face – the Oscars and Baftas separate the category into original and adapted, however, so a corrective could come. Continue reading...",Entertainment,The Guardian,chalamet a smash sinners shut out the key golden globes snubs and surprises paul thomas anderson s one battle after another looks unstoppable ahead of the oscars despite timoth e chalamet s triumph over leonardo dicaprio for best actorthe biggest backlash brewing concerns ryan coogler s sinners lauded by critics and embraced especially in the us by audiences as one of s key cultural landmarks the thriller did win two globes for cinematic and box office achievement and original score but both wound up not really counting the first is the globes s consolation prize it was won by barbie in and wicked last year the second wasn t even broadcast on the telecast coogler missing out on screenplay to one battle after another was perceived by some as a slap in the face the oscars and baftas separate the category into original and adapted however so a corrective could come continue reading,Entertainment
"‘Soon I will die.  And I will go with a great orgasm’: the last rites of Alejandro Jodorowsky.  The Chilean film-maker’s psychedelic work earned him the title ‘king of the midnight movie’, and a fan in John Lennon.  Now the 96-year-old is ready for the end – but first there is more living to doThere is an apocryphal story of an ageing Orson Welles introducing himself to the guests at a half-empty town hall.  “I am an actor, a writer, a producer and a director,” he said.",Entertainment,The Guardian,soon i will die and i will go with a great orgasm the last rites of alejandro jodorowsky the chilean film maker s psychedelic work earned him the title king of the midnight movie and a fan in john lennon now the year old is ready for the end but first there is more living to dothere is an apocryphal story of an ageing orson welles introducing himself to the guests at a half empty town hall i am an actor a writer a producer and a director he said,Entertainment
"‘It’s more productive than doomscrolling’: film-maker Ben Wheatley on his secret life as musician Dave Welder.  While playing with nine-figure Hollywood budgets, the Kill List and Meg 2 director has become a prolific music producer.  Next up is his experimental film, BulkDave Welder may just be the most prolific musician you’ve never heard of.  In a little more than a year, he has released a staggering 26 records spanning electronica, dub, ambient, kosmische and drone.  One of these albums, Thunderdrone, is more than four hours long.",Entertainment,The Guardian,it s more productive than doomscrolling film maker ben wheatley on his secret life as musician dave welder while playing with nine figure hollywood budgets the kill list and meg director has become a prolific music producer next up is his experimental film bulkdave welder may just be the most prolific musician you ve never heard of in a little more than a year he has released a staggering records spanning electronica dub ambient kosmische and drone one of these albums thunderdrone is more than four hours long,Entertainment
"‘I haven’t mellowed my violence’: Park Chan-wook on cultural dominance, the capitalist endgame and why we can’t beat AI.  His brutal movies put Korean cinema on the map.  Now the director of Oldboy is back with a blistering satire about a man driven to murder after redundancyThe Korean wave is being feted around the world right now but Park Chan-wook is not feeling too celebratory.  From the outside, South Korea seems to be a well-oiled machine pumping out a stream of world-conquering pop music, cuisine, cars, cinema (especially the Oscar-winning Parasite) and TV shows, as well as the Samsung flat-screens to watch them on.  But Park’s latest film, No Other Choice, bursts the balloon somewhat.",Entertainment,The Guardian,i haven t mellowed my violence park chan wook on cultural dominance the capitalist endgame and why we can t beat ai his brutal movies put korean cinema on the map now the director of oldboy is back with a blistering satire about a man driven to murder after redundancythe korean wave is being feted around the world right now but park chan wook is not feeling too celebratory from the outside south korea seems to be a well oiled machine pumping out a stream of world conquering pop music cuisine cars cinema especially the oscar winning parasite and tv shows as well as the samsung flat screens to watch them on but park s latest film no other choice bursts the balloon somewhat,Entertainment
"‘It was overwhelming’: Katie Leung on Harry Potter, sudden fame, insecurity – and starring in Bridgerton.  As a teenager, the actor landed her first ever job in the blockbuster film series.  The experience was fun – but also led to horrendous online abuse.  Now she’s back, playing a tough and surprising matriarch in the Regency smash hitSome actors might have been a little put out to audition for the role of the beautiful young romantic lead, and instead be cast as her mother, but not Katie Leung.  “Absolutely not,” she says with a laugh.",Entertainment,The Guardian,it was overwhelming katie leung on harry potter sudden fame insecurity and starring in bridgerton as a teenager the actor landed her first ever job in the blockbuster film series the experience was fun but also led to horrendous online abuse now she s back playing a tough and surprising matriarch in the regency smash hitsome actors might have been a little put out to audition for the role of the beautiful young romantic lead and instead be cast as her mother but not katie leung absolutely not she says with a laugh,Entertainment
"From Ralph Fiennes to Jeffrey Wright: the most overlooked performances this awards season.  Jessie Buckley and Timothée Chalamet might be winning all of the awards but as Oscar voting begins, these actors also deserve inclusionEvery January, if not earlier, awards narratives leading up to the Oscars take shape.  While the specifics of the Academy Award nominations are never known in advance, and can always be counted on for some surprises when they’re actually unveiled, critics and pundits and fans all enter into that final stretch with a pretty good idea of who won’t be nominated. Some of this is because of the endless spitballing.  But the “won’t” list is also easy to compile because it ultimately houses almost everyone who acted in a movie over the past year.",Entertainment,The Guardian,from ralph fiennes to jeffrey wright the most overlooked performances this awards season jessie buckley and timoth e chalamet might be winning all of the awards but as oscar voting begins these actors also deserve inclusionevery january if not earlier awards narratives leading up to the oscars take shape while the specifics of the academy award nominations are never known in advance and can always be counted on for some surprises when they re actually unveiled critics and pundits and fans all enter into that final stretch with a pretty good idea of who won t be nominated some of this is because of the endless spitballing but the won t list is also easy to compile because it ultimately houses almost everyone who acted in a movie over the past year,Entertainment
"‘Uncomfortably relatable’: writers on their favourite unlikable movie characters.  With debate still swirling over the unlikable nature of Marty Supreme’s careless protagonist, Guardian writers have picked their all-time love-to-hate leadsSpoilers aheadI can remember seeing As Good As It Gets in the theater as a teenager and being pleasantly startled by the sight of Jack Nicholson’s Melvin Udall, romcom super-grouch.  Here’s a bestselling romance author who disdains love, an OCD sufferer who weaponizes his affliction, a New Yorker who hates crowds (who can’t relate?).  In one scene, an adoring fan asks Melvin his secret to writing women.  “I think of a man, and I take away reason and accountability,” he says, an epic burn forever seared in my brain.",Entertainment,The Guardian,uncomfortably relatable writers on their favourite unlikable movie characters with debate still swirling over the unlikable nature of marty supreme s careless protagonist guardian writers have picked their all time love to hate leadsspoilers aheadi can remember seeing as good as it gets in the theater as a teenager and being pleasantly startled by the sight of jack nicholson s melvin udall romcom super grouch here s a bestselling romance author who disdains love an ocd sufferer who weaponizes his affliction a new yorker who hates crowds who can t relate in one scene an adoring fan asks melvin his secret to writing women i think of a man and i take away reason and accountability he says an epic burn forever seared in my brain,Entertainment
"Matt Damon’s best films – ranked!. Ahead of his reunion with Ben Affleck in thriller The Rip – as well as his starring role in Christopher Nolan’s upcoming Imax epic The Odyssey – we run through the best work of one of Hollywood’s most reliable heroesMatt Damon is essentially a bland dish that requires the right spice truly to zing, which means he is often at his best when playing beastly. His flagrantly nasty turn as one of the antisemitic bullies who makes prep school life hell for a secretly Jewish classmate (Brendan Fraser) offers an early indication that Damon realised this, too. Continue reading...",Entertainment,The Guardian,matt damon s best films ranked ahead of his reunion with ben affleck in thriller the rip as well as his starring role in christopher nolan s upcoming imax epic the odyssey we run through the best work of one of hollywood s most reliable heroesmatt damon is essentially a bland dish that requires the right spice truly to zing which means he is often at his best when playing beastly his flagrantly nasty turn as one of the antisemitic bullies who makes prep school life hell for a secretly jewish classmate brendan fraser offers an early indication that damon realised this too continue reading,Entertainment
